,isFraudUser
company_5945_window_3,False
company_5945_window_2,False
company_5945_window_1,False
company_5945_window_0,False
company_5025_window_0,False
company_1727_window_0,False
company_5616_window_0,False
company_5024_window_7,False
company_5024_window_6,False
company_5024_window_5,False
company_5024_window_4,False
company_5024_window_3,False
company_5024_window_2,False
company_5024_window_1,False
company_5024_window_0,False
company_6900_window_0,False
company_4379_window_0,False
company_4379_window_1,False
company_4136_window_4,False
company_4136_window_2,False
company_4136_window_3,False
company_4136_window_1,False
company_4136_window_0,False
company_6814_window_4,False
company_6814_window_2,False
company_6814_window_3,False
company_6814_window_1,False
company_6814_window_0,False
company_6744_window_0,False
company_5872_window_8,False
company_5872_window_9,False
company_5872_window_7,False
company_5872_window_6,False
company_5872_window_5,False
company_5872_window_4,False
company_5872_window_3,False
company_5872_window_2,False
company_5872_window_1,False
company_5872_window_0,False
company_5887_window_7,False
company_5887_window_5,False
company_5887_window_6,False
company_5887_window_4,False
company_5887_window_3,False
company_5887_window_2,False
company_5887_window_1,False
company_5887_window_0,False
company_5069_window_2,False
company_5069_window_3,False
company_5069_window_4,False
company_5069_window_1,False
company_5069_window_0,False
company_3895_window_1,False
company_3895_window_0,False
company_3316_window_1,False
company_3316_window_0,False
company_6102_window_0,False
company_793_window_3,False
company_793_window_4,False
company_793_window_5,False
company_793_window_0,False
company_5054_window_5,False
company_5054_window_4,False
company_5054_window_3,False
company_5054_window_2,False
company_5054_window_1,False
company_5054_window_0,False
company_6454_window_4,False
company_6454_window_3,False
company_6454_window_2,False
company_6454_window_1,False
company_6454_window_0,False
company_6743_window_0,True
company_4296_window_0,False
company_2286_window_1,False
company_2286_window_3,False
company_2286_window_2,False
company_2286_window_0,False
company_1394_window_2,False
company_1394_window_1,False
company_1394_window_0,False
company_5173_window_0,False
company_5173_window_1,False
company_863_window_3,False
company_863_window_4,False
company_863_window_5,False
company_863_window_2,False
company_863_window_0,False
company_1207_window_0,False
company_3304_window_7,False
company_3304_window_8,False
company_3304_window_6,False
company_3304_window_5,False
company_3304_window_4,False
company_3304_window_3,False
company_3304_window_2,False
company_3304_window_1,False
company_3304_window_0,False
company_2155_window_9,False
company_2155_window_8,False
company_2155_window_7,False
company_2155_window_6,False
company_2155_window_5,False
company_2155_window_4,False
company_2155_window_3,False
company_2155_window_2,False
company_2155_window_1,False
company_2155_window_0,False
company_7165_window_5,False
company_7165_window_7,False
company_7165_window_6,False
company_7165_window_4,False
company_7165_window_3,False
company_7165_window_2,False
company_7165_window_1,False
company_7165_window_0,False
company_6996_window_0,False
company_5524_window_9,True
company_5524_window_8,True
company_5524_window_6,True
company_5524_window_7,True
company_5524_window_5,True
company_5524_window_4,True
company_5524_window_0,True
company_6545_window_7,False
company_6545_window_9,False
